vel flux
-1.050000000000e+03 0.000000000000e+00
-1.020000000000e+03 0.000000000000e+00
-9.900000000000e+02 0.000000000000e+00
-9.600000000000e+02 0.000000000000e+00
-9.300000000000e+02 0.000000000000e+00
-9.000000000000e+02 0.000000000000e+00
-8.700000000000e+02 0.000000000000e+00
-8.400000000000e+02 0.000000000000e+00
-8.100000000000e+02 0.000000000000e+00
-7.800000000000e+02 0.000000000000e+00
-7.500000000000e+02 0.000000000000e+00
-7.200000000000e+02 0.000000000000e+00
-6.900000000000e+02 0.000000000000e+00
-6.600000000000e+02 0.000000000000e+00
-6.300000000000e+02 0.000000000000e+00
-6.000000000000e+02 0.000000000000e+00
-5.700000000000e+02 0.000000000000e+00
-5.400000000000e+02 0.000000000000e+00
-5.100000000000e+02 0.000000000000e+00
-4.800000000000e+02 0.000000000000e+00
-4.500000000000e+02 0.000000000000e+00
-4.200000000000e+02 -1.033157040077e-03
-3.900000000000e+02 -5.250185381397e-04
-3.600000000000e+02 5.078020933065e-04
-3.300000000000e+02 2.143670571341e-04
-3.000000000000e+02 5.046584249824e-04
-2.700000000000e+02 3.548312355731e-05
-2.400000000000e+02 4.800870348554e-04
-2.100000000000e+02 7.848155275226e-04
-1.800000000000e+02 1.911931605552e-03
-1.500000000000e+02 1.010387111017e-03
-1.200000000000e+02 8.923866576624e-04
-9.000000000000e+01 1.772658789908e-03
-6.000000000000e+01 1.067134788655e-03
-3.000000000000e+01 1.452174494100e-03
-8.653748828635e-10 1.600699739191e-03
3.000000000000e+01 1.381070917877e-03
6.000000000000e+01 2.272279370470e-03
9.000000000000e+01 2.841380254282e-03
1.200000000000e+02 1.625746684999e-03
1.500000000000e+02 3.565620353303e-03
1.800000000000e+02 7.325007071323e-04
2.100000000000e+02 2.324779859338e-03
2.400000000000e+02 2.525604368007e-03
2.700000000000e+02 4.710554108246e-04
3.000000000000e+02 -7.506533621655e-04
3.300000000000e+02 3.063592273968e-05
3.600000000000e+02 2.292075266033e-04
3.900000000000e+02 -2.804511024645e-04
4.200000000000e+02 -1.618985968240e-03
4.500000000000e+02 -1.061417153228e-03
4.800000000000e+02 -4.057797982309e-04
5.100000000000e+02 -6.605499104485e-04
5.400000000000e+02 2.827017739581e-04
5.700000000000e+02 -4.638917964496e-04
6.000000000000e+02 6.947693558719e-05
6.300000000000e+02 8.522647428005e-04
6.600000000000e+02 6.816592391251e-05
6.900000000000e+02 3.202869448202e-04
7.200000000000e+02 2.969391785040e-04
7.500000000000e+02 2.528462828092e-04
7.800000000000e+02 1.606584744468e-03
8.100000000000e+02 1.170100744511e-03
8.400000000000e+02 -4.031707835958e-04
8.700000000000e+02 -7.045569754507e-04
9.000000000000e+02 5.593379480077e-05
9.300000000000e+02 -4.945436652952e-04
9.600000000000e+02 8.034675502934e-04
9.900000000000e+02 1.193403777539e-03
1.020000000000e+03 4.624327491821e-05
