freq,flux
715726701123.8939,-30.099717362201773
715608335070.8029,21.833058463031193
715489969017.7119,63437.80908428237
715371602964.6208,6839.158398836775
715253236911.5299,14.846269151286833
715134870858.4388,2.1356390424589335
715016504805.3479,0.4191109953499108
714898138752.2568,0.030031304671865655
714779772699.1659,-0.3756935064593563
714661406646.0748,-0.22796806240512524
714543040592.9839,-0.007420216355967568
714424674539.8928,-0.0053395762988657225
714306308486.8019,0.3879013944933831
714187942433.7108,0.15695034815507825
714069576380.6199,0.0009023438724398147
713951210327.5289,-0.16554886069206987
713832844274.4379,0.4732076368345588
713714478221.3469,0.10701498678463395
713596112168.2559,0.11533754701304133
713477746115.1649,0.021708744443458272
713359380062.0739,0.0029829839295416605
713241014008.9829,0.12366010724144871
713122647955.8918,0.023789384500560118
713004281902.8009,-0.06567813795481925
712885915849.7098,0.13822458764116163
712767549796.6189,-0.06567813795481925
712649183743.5278,-0.31119366468919907
712530817690.4369,0.13406330752695794
712412451637.3458,-0.10104901892555063
712294085584.2549,-0.042791097326698946
712175719531.1638,0.07372474587100442
712057353478.0729,0.03627322484317119
711938987424.9818,0.09869242655622656
711820621371.8909,0.05707962541418965
711702255318.7999,-0.07192005812612479
711583889265.7089,-0.19051654137729201
711465523212.6179,-0.18219398114888463
711347157159.5269,0.06124090552839334
711228791106.4359,0.14238586775536533
711110425053.3448,-0.02614597686988418
710992059000.2539,0.059160265471291495
710873692947.1628,0.16319226832638378
710755326894.0719,0.02795066461476381
710636960840.9808,-0.15306502035309677
710518594787.8899,0.03419258478606935
710400228734.7988,-0.013662136527273105
710281862681.7079,-0.0906458186400414
710163496628.6168,0.24017595043915207
710045130575.5259,0.29843387203800376
709926764522.4348,0.10285370667043026
709808398469.3439,0.35253051352265175
709690032416.2529,0.3462885933513462
709571666363.1619,0.3774981942078739
709453300310.0709,0.5064978777481883
709334934256.9799,0.4773689169487625
709216568203.8889,0.40246587489309604
709098202150.7979,0.22977275015364285
708979836097.7069,0.2651436311243742
708861470044.6158,0.19232122912580962
708743103991.5249,0.0321119447289675
708624737938.4338,0.1319826674698561
708506371885.3429,0.06332154558549519
708388005832.2518,-0.03030725698408787
708269639779.1609,0.09869242655622656
708151273726.0698,0.03419258478606935
708032907672.9789,0.03419258478606935
707914541619.8878,-0.10312965898265247
707796175566.7969,-0.09272645869714324
707677809513.7058,0.03419258478606935
707559443460.6149,0.01754746432925458
707441077407.5239,-0.01158149647017126
707322711354.4329,0.11533754701304133
707204345301.3419,0.06748282569969888
707085979248.2509,0.10701498678463395
706967613195.1599,0.03419258478606935
706849247142.0688,0.14030522769826348
706730881088.9779,0.005063623986643506
706612515035.8868,0.2630629910672724
706494148982.7959,-0.013662136527273105
706375782929.7048,0.05707962541418965
706257416876.6139,0.13406330752695794
706139050823.5228,0.09245050638492103
706020684770.4319,0.09869242655622656
705902318717.3408,0.19232122912580962
