time_days,relative_flux,relative_flux_error,use_point
-0.005555721469136188,,,False
-0.004166791217812715,,,False
-0.0027778607341133466,,,False
-0.0013889304841541161,,,False
0.0,0.9998426152695908,0.0005428482120544515,True
0.0013889302513234725,1.0006067164997112,0.0005428406231134692,True
0.0027778607354775886,0.9996614265077114,0.0005428494502500855,True
0.004166790985891566,,,False
0.0055557214686814405,0.99971623304065,0.0005428149405395131,True
0.006944651720004913,1.0001387341490509,0.0005429674782532585,True
0.008333582204159029,0.999465840805836,0.0005427442036211985,True
0.009722512455027754,0.9998035144893749,0.0005428097481062094,True
0.011111442705441732,1.0000620050029367,0.0005430687706444757,True
0.0125003731891411,0.9996107100145442,0.0005428534843713445,True
0.013889303440464573,1.0002526008562906,0.0005429306119768021,True
0.01527823392461869,0.9993635898115474,0.0005429614470422673,True
0.01666716417457792,1.0001517404755245,0.0005429957171020718,True
0.018056094424991898,0.9999440482559252,0.0005432157963905604,True
0.01944502467631537,1.000332765635813,0.0005431008838473696,True
0.020833955160469486,0.9995745540629637,0.0005428830812411758,True
0.02222288541133821,1.0001797981483571,0.0005430663741367971,True
0.02361181566129744,1.0004557940321412,0.0005429231828029983,True
0.025000746145451558,1.0007375977724007,0.0005431834035951041,True
0.02638967639677503,1.0006302751287954,0.0005430956914140658,True
0.027778606648098503,0.9999074014995721,0.0005431007240801909,True
0.029167536898967228,0.9991228500705941,0.0005426451479704814,True
0.03055646714892646,1.001329508328139,0.0005430793552200564,True
0.031945397633080574,1.0001442148023447,0.0005429606482063744,True
0.03333432788440405,1.0003380008867206,0.0005431522090534871,True
0.03472325813436328,1.0007767803534122,0.0005429545371117938,True
0.036112188384777255,1.000301435931163,0.0005429098023017925,True
0.03750111863610073,1.000421764901242,0.0005426978711394114,True
0.0388900488874242,1.0008725690848619,0.0005431591189839605,True
0.04027897913874767,0.9999132911568432,0.0005432797831455801,True
0.0416679093887069,1.0001766897181308,0.0005427255108613052,True
0.04305683963957563,0.9998119399713042,0.0005430292282677782,True
0.0444457698908991,0.9999548459609221,0.0005426587281806603,True
0.04583470014222257,1.0000213500076074,0.0005427307032946088,True
0.04722363039263655,1.0007444690392169,0.000542965960465062,True
0.04861256064259578,1.0002946464651423,0.0005429326490083289,True
0.050001490893919254,1.0010396063091318,0.0005430904989807621,True
0.051390421145242726,1.0003099432138878,0.00054311654103087,True
0.05277935139611145,1.0007537125291006,0.0005430888613671816,True
0.05416828164652543,0.9998865422967373,0.0005428235280253615,True
0.055557211897394154,0.9995919776323905,0.0005427409283940378,True
0.05694614214871763,1.0001797163475619,0.0005427250315597694,True
0.0583350724000411,1.000294973668324,0.000542897300520069,True
0.05972400265000033,1.001013266453003,0.000543039453367207,True
0.061112932900869055,1.0001047050181515,0.0005430537525296897,True
0.06250186291936188,0.9997563972312067,0.0005428579578523446,True
0.06389079317068536,0.9998144757959626,0.0005430005900010184,True
0.06527972342200883,1.0000755839349782,0.0005428009609113876,True
0.06666865367196806,1.0001428241888224,0.0005426684340367588,True
0.06805758392238204,0.9999471566861516,0.0005429879683939109,True
0.06944651394087487,1.0011164990568369,0.0005432293366589446,True
0.07083544419174359,1.0005200894573498,0.0005431098707511645,True
0.07222437444306706,1.0003281847912688,0.0005428036769534235,True
0.07361330469348104,1.0007110125138856,0.0005430263524585638,True
0.07500223471151912,1.0005428300784798,0.0005429179903696946,True
0.0763911649628426,1.001325172885981,0.0005430009095353756,True
0.07778009521325657,1.0004784528524755,0.0005428116653123522,True
0.07916902523129465,1.0005889657271028,0.0005429751470778302,True
0.08055795548170863,1.0001640923956345,0.0005428452963034425,True
0.0819468857330321,1.0013783434030112,0.0005431421437212368,True
0.08333581575152493,1.0001347259100748,0.0005428597552331036,True
0.08472474600239366,0.9996458025557841,0.0005428675838248539,True
0.08611367602043174,0.9999744781518255,0.0005427824678604675,True
0.08750260627084572,1.0000062168604527,0.0005428699004489432,True
0.0888915362888838,1.0004045867342013,0.0005430469624246001,True
0.09028046654020727,0.9996470295677156,0.0005427940509809142,True
0.0916693965577906,0.9995596663181953,0.0005427960081288518,True
0.09305832680865933,1.0009657401908576,0.0005430748817390563,True
0.09444725682715216,0.9997009362919045,0.0005428015600383073,True
0.09583618707756614,1.00048499691611,0.0005428499295516212,True
0.09722511709605897,0.9999986911872731,0.0005429100020107658,True
0.09861404734692769,0.9997560700280249,0.0005427541890698595,True
0.10000297736451103,1.0008658614196364,0.0005429699546445264,True
0.1013919076158345,1.0009301568448452,0.0005430849470713066,True
0.10278083763387258,1.0007363707604693,0.0005431723796597823,True
0.10416976765145591,1.0004179202638566,0.0005431979024665599,True
0.10555869790232464,1.000395425045113,0.0005430057824343221,True
0.10694762791990797,0.9997825734857446,0.0005434679089983533,True
0.1083365579384008,1.0000575059591879,0.0005429338472621683,True
0.10972548818972427,0.9995913232260271,0.0005428359499234959,True
0.11111441820776236,1.0003512526155804,0.0005428910696001045,True
0.11250334822534569,1.0012062345294246,0.000542931410812695,True
0.11389227847621441,1.0005046291070134,0.0005429816176485625,True
0.11528120849470724,1.0009841453698296,0.000543084787304128,True
0.11667013851251795,1.0005011934736054,0.0005429239816388912,True
0.11805906853032866,1.0000358287483988,0.0005428483318798354,True
0.11944799878165213,1.000775635142276,0.0005429547767625617,True
0.12083692879969021,1.0013998570122096,0.0005430001106994826,True
0.12222585881818304,1.0014676698716218,0.0005429451907318472,True
0.12361478883576638,1.001060138308785,0.0005428881139073009,True
0.12500371885289496,1.0015103698868368,0.000543116421205486,True
0.1263926488713878,1.0002124366657341,0.0005428325948127458,True
0.12778157888988062,1.0001988577336927,0.0005430560292119843,True
0.1291705091412041,1.0001914138613084,0.0005428054343923878,True
0.13055943915924217,1.0001402883641641,0.0005429560149581957,True
0.13194836917637076,0.9994000729663095,0.0005426408342566598,True
0.1333372991948636,0.9988874273813438,0.0005427534701175559,True
0.13472622921335642,0.9996943104274746,0.0005426954346899382,True
0.13611515923093975,0.9993928744963116,0.0005427581433075293,True
0.13750408924897783,1.0008312596831692,0.0005429757462047498,True
0.13889301926656117,1.0000249492426065,0.000542750554366547,True
0.140281949285054,0.9996724696150945,0.0005426699518249553,True
0.14167087930354683,0.9997987700432399,0.0005429115597407569,True
0.1430598093206754,0.9994294394518692,0.0005427682086397796,True
0.1444487393387135,1.0008113820898794,0.0005431734980300323,True
0.14583766935720632,1.0007219738204733,0.000542965640930705,True
0.1472265991428685,1.0010025505488016,0.000542892028203176,True
0.1486155291609066,1.0012364190229386,0.0005432365261819806,True
0.15000445917803518,1.0003361194684257,0.0005428453362452372,True
0.151393389196528,1.0006742839567373,0.0005429492647949009,True
0.15278231921502083,0.9999176265990011,0.0005428420610180763,True
0.15417124923351366,1.000283030752191,0.0005430233967657601,True
0.15556017901826635,1.000254727676972,0.0005432431964616861,True
0.15694910903539494,1.0002667523939002,0.0005429270172152841,True
0.15833803905388777,0.9997131246104237,0.0005428237676761294,True
0.1597269690723806,1.0002062198052815,0.000542828400924308,True
0.16111589885667854,1.000010225099429,0.0005427098536778047,True
0.16250482887471662,0.999663635129188,0.0005427019452024652,True
0.16389375889320945,0.9998569304087913,0.000542854442974416,True
0.16528268891170228,0.9994109524721019,0.0005425987755468996,True
0.16667161869736447,1.000525079305871,0.0005428784479929971,True
0.16806054871449305,0.9995882965965961,0.0005428891923357562,True
0.1694494787320764,1.0001336624997341,0.0005429008153979976,True
0.17083840851773857,1.0003577148784195,0.00054284501671088,True
0.1722273385362314,1.0005359588116636,0.0005432938426572948,True
0.17361626832143884,1.001062265129466,0.0005429034116146496,True
0.17500519833856742,1.000084827424862,0.0005428739345702023,True
0.17639412835706025,1.0006872902832107,0.0005430950124035569,True
0.17778305814272244,0.9993464116445069,0.0005425569165461128,True
0.17917198816076052,1.0001380797426873,0.0005426814950036074,True
0.1805609179455132,0.9998341897876615,0.0005429833351457322,True
0.1819498479635513,1.000017668971813,0.0005427186009308317,True
0.18333877774921348,1.0005303963575742,0.000542952619905651,True
0.1847277077677063,1.0006647950644671,0.0005430074200479026,True
0.18611663755200425,1.0000549701345296,0.00054272271493568,True
0.18750556756958758,0.9997009362919045,0.0005428939454093189,True
0.18889449735524977,1.0010114668355035,0.000543030146929055,True
0.19028342714091195,1.0005883931215347,0.0005431083130211734,True
0.19167235715940478,0.9997514891834808,0.0005431505714399067,True
0.19306128694370273,1.0002215983548224,0.0005430898599120478,True
0.1944502169617408,0.9993700520743863,0.0005426487027902047,True
0.195839146747403,0.9993731605046128,0.0005428989381336494,True
0.19722807653215568,1.0000552155369158,0.000542820772041531,True
0.1986170065506485,0.9998173388238027,0.000542860953486943,True
0.20000593633585595,1.000351007213194,0.0005428178163487275,True
0.20139486612060864,1.0001604113598401,0.00054288372030989,True
0.20278379590627083,1.0006898261078692,0.0005428516869905855,True
0.2041727259243089,0.9999720241279626,0.0005429377216162487,True
0.2055616557090616,1.0002671613978775,0.0005427190003487782,True
0.20695058549426903,1.000751667509215,0.0005429679575547942,True
0.20833951527993122,0.9998584846239045,0.0005429991121546166,True
0.20972844529842405,0.9996467841653293,0.0005426184668516591,True
0.2111173750836315,0.9999501015147871,0.000543181726039729,True
0.21250630486838418,0.9999313691326335,0.0005427899369760659,True
0.21389523465359161,0.9994179055397134,0.0005428637094707733,True
0.2152841644383443,1.0001838881881286,0.0005430263524585638,True
0.2166730942240065,1.0003122336361598,0.0005428250857553526,True
0.21806202400921393,1.0003284301936552,0.000542864987608202,True
0.21945095402679726,1.0001672826266563,0.0005428824022306668,True
0.22083988381245945,0.9995712002303511,0.0005426990693932508,True
0.22222881359766689,0.9994042448068765,0.0005426773410569644,True
0.22361774338332907,0.9994493170451589,0.0005428747334060951,True
0.22500667316808176,1.0004514585899833,0.0005432462719798738,True
0.2263956029532892,0.9996368044682866,0.0005428279216227723,True
0.22778453273895138,0.999656600260781,0.0005428508881546927,True
0.22917346252370407,0.999618072086133,0.0005425972577587032,True
0.2305623923089115,0.9994176601373271,0.0005425556783504788,True
0.2319513220936642,0.9994341838980042,0.0005425652643811933,True
0.23334025187887164,1.0001298996631443,0.000543044166498975,True
0.23472918143170318,0.9998559487992461,0.0005428063929954593,True
0.23611811121736537,0.9995158210918443,0.0005427575042388149,True
0.23750704100211806,1.0009221403668929,0.0005431311197859151,True
0.2388959707873255,1.0002905564253706,0.0005429845333995715,True
0.24028490057253293,1.0007560847521682,0.0005428969410439172,True
0.24167383035819512,0.9989936048138132,0.000542673906062625,True
0.2430627601429478,0.9998570122095867,0.0005428739345702023,True
0.2444516896953246,0.999831817564594,0.0005428541633818535,True
0.2458406194809868,0.9994207685675536,0.0005427361353786804,True
0.24722954926573948,0.9994607691565193,0.0005429692356922228,True
0.24861847905140166,0.9994345929019813,0.0005427140475662423,True
0.25000740860377846,1.0001787347380167,0.0005428072317731468,True
0.2513963383880764,0.9993091104817903,0.0005427171630262245,True
0.2527852681737386,0.9996591360854393,0.0005426629220690979,True
0.25417419795940077,1.0000629048116865,0.0005427685281741367,True
0.2555631275122323,0.999557703099105,0.0005427267490569391,True
0.256952057296985,1.0002804131267373,0.0005427854634950657,True
0.25834098708128295,1.0004520311955514,0.0005428589563972108,True
0.2597299166341145,0.9993256342424673,0.0005427120504765101,True
0.2611188464197767,0.9998139031903946,0.0005430947328109943,True
0.26250777597215347,0.9999974641753416,0.0005427410881612163,True
0.26389670575690616,0.9988944622497509,0.0005428170973964238,True
0.2652856355421136,1.0002295330319793,0.0005430361781400462,True
0.26667456509494514,0.999291768713159,0.0005423549708323927,True
0.2680634948806073,0.9986385075608475,0.000542648782673794,True
0.2694524244320746,0.9992397434072648,0.0005426369599025794,True
0.2708413542170547,0.9999959099602285,0.0005429681572637674,True
0.2722302837701136,0.9993966373329014,0.0005427332995112607,True
0.2736192135557758,1.0001483048421163,0.0005429204667609626,True
0.27500814310769783,0.9997467447373458,0.0005428490108903444,True
0.2763970728919958,1.0002077740203945,0.0005429924818167057,True
0.2777860024448273,0.9997351290243947,0.0005426977912558221,True
