cluster,gaia_source_id,g_mag,bp_mag,rp_mag,membership_probability,use_star,distance_pc,a_g_mag,e_bp_rp_mag
Pleiades,111019720578786560,14.441338,15.843689,13.263633,0.2310530101813882,False,134.84134308,0.08772572007000001,0.042466207274999994
Pleiades,111092322705538048,16.645359,18.312962,15.40714,0.183464561769242,False,134.84134308,0.08772572007000001,0.042466207274999994
Pleiades,111721552594418304,12.117957,12.683548,11.393772,0.1841738752057519,False,134.84134308,0.08772572007000001,0.042466207274999994
Pleiades,112256976100897408,12.708488,13.351089,11.894768,0.1809430263348612,False,134.84134308,0.08772572007000001,0.042466207274999994
Pleiades,117138193548596480,14.590978,15.784708,13.495401,0.3631695764407932,False,134.84134308,0.08772572007000001,0.042466207274999994
Pleiades,117141354644522752,13.657797,14.511338,12.751147,0.2460112258708731,False,134.84134308,0.08772572007000001,0.042466207274999994
Pleiades,117161145853735680,16.337584,17.99782,15.098862,0.2563593825852421,False,134.84134308,0.08772572007000001,0.042466207274999994
Pleiades,117179356515011584,16.601688,18.506208,15.297502,0.3229809103790573,False,134.84134308,0.08772572007000001,0.042466207274999994
Pleiades,117215807902051200,12.782558,13.472001,11.978669,0.3410628799566642,False,134.84134308,0.08772572007000001,0.042466207274999994
Pleiades,117448530705462912,15.716307,17.18751,14.533359,0.2781495380102209,False,134.84134308,0.08772572007000001,0.042466207274999994
Pleiades,117517421980731776,16.018986,17.566883,14.804723,0.257882376402065,False,134.84134308,0.08772572007000001,0.042466207274999994
Pleiades,117669120225730048,15.73018,17.321363,14.512489,0.383721266022469,False,134.84134308,0.08772572007000001,0.042466207274999994
Pleiades,117672075163287680,8.330847,8.475356,8.050642,0.2887416906457833,False,134.84134308,0.08772572007000001,0.042466207274999994
Pleiades,117709729140216320,11.783889,12.240684,11.163558,0.3036463908800076,False,134.84134308,0.08772572007000001,0.042466207274999994
Pleiades,117770786396229376,18.469936,20.610281,17.10083,0.341339237908791,False,134.84134308,0.08772572007000001,0.042466207274999994
Pleiades,117834940322217728,19.413395,21.162798,17.981367,0.2418193163956099,False,134.84134308,0.08772572007000001,0.042466207274999994
Pleiades,117846450835917568,17.807346,19.816582,16.46272,0.4991768636026383,False,134.84134308,0.08772572007000001,0.042466207274999994
Pleiades,117857755189714048,15.543323,16.983023,14.37014,0.5037419316140168,False,134.84134308,0.08772572007000001,0.042466207274999994
Pleiades,117874110425255424,16.671446,18.551502,15.331679,0.3321262695438668,False,134.84134308,0.08772572007000001,0.042466207274999994
Pleiades,117944577952339456,12.315098,12.973812,11.490044,0.2274726509339903,False,134.84134308,0.08772572007000001,0.042466207274999994
Pleiades,118010205052095104,12.685639,13.374815,11.878932,0.2633322727167167,False,134.84134308,0.08772572007000001,0.042466207274999994
Pleiades,118057488348669056,13.368843,14.126237,12.228547,0.243652202405988,False,134.84134308,0.08772572007000001,0.042466207274999994
Pleiades,118078791386289920,10.601268,10.965276,10.071199,0.3440926480965891,False,134.84134308,0.08772572007000001,0.042466207274999994
Pleiades,118159193173934848,15.232319,16.63542,14.068383,0.3409438234044405,False,134.84134308,0.08772572007000001,0.042466207274999994
Pleiades,118715683496508032,15.482626,16.927124,14.306224,0.2340653943292499,False,134.84134308,0.08772572007000001,0.042466207274999994
Pleiades,118934207136604288,17.338604,19.185352,16.05765,0.2438682932136962,False,134.84134308,0.08772572007000001,0.042466207274999994
Pleiades,119006092005322112,7.110304,7.155982,7.006359,0.1763526195501222,False,134.84134308,0.08772572007000001,0.042466207274999994
Pleiades,119058490606226048,16.331062,18.121147,15.044385,0.1780534212079634,False,134.84134308,0.08772572007000001,0.042466207274999994
Pleiades,119400851039785600,15.407915,16.859566,14.221045,0.50100559395618,False,134.84134308,0.08772572007000001,0.042466207274999994
Pleiades,119443869432136192,17.493088,19.440117,16.15731,0.2527291380296426,False,134.84134308,0.08772572007000001,0.042466207274999994
Pleiades,119499665350704384,17.766754,19.76285,16.438066,0.3905109255481418,False,134.84134308,0.08772572007000001,0.042466207274999994
Pleiades,119513134368205056,17.461916,19.4834,16.165316,0.2583529438236602,False,134.84134308,0.08772572007000001,0.042466207274999994
Pleiades,119520079331712896,12.18186,12.759123,11.463689,0.3157881626097346,False,134.84134308,0.08772572007000001,0.042466207274999994
Pleiades,119580754333554176,17.617117,19.699373,16.294617,0.314773987121122,False,134.84134308,0.08772572007000001,0.042466207274999994
Pleiades,119609655169509760,16.864048,18.721655,15.563615,0.2874736078581526,False,134.84134308,0.08772572007000001,0.042466207274999994
Pleiades,119610342364458112,17.142508,18.924162,15.878202,0.245668135774751,False,134.84134308,0.08772572007000001,0.042466207274999994
Pleiades,119707889661936768,15.080872,16.435133,13.937094,0.2117943989525047,False,134.84134308,0.08772572007000001,0.042466207274999994
Pleiades,119776604841920896,17.38918,19.325594,16.075298,0.4067488757896414,False,134.84134308,0.08772572007000001,0.042466207274999994
Pleiades,119840552611277056,15.678382,17.12393,14.501841,0.2346548681521027,False,134.84134308,0.08772572007000001,0.042466207274999994
Pleiades,120532175489096448,17.119919,18.831812,15.866463,0.1807610098058131,False,134.84134308,0.08772572007000001,0.042466207274999994
Pleiades,120566642602294144,16.90721,18.731787,15.617982,0.2311333323167161,False,134.84134308,0.08772572007000001,0.042466207274999994
Pleiades,120907044530235776,16.315172,18.033548,15.051675,0.1894371037024293,False,134.84134308,0.08772572007000001,0.042466207274999994
Pleiades,121349735399525632,11.189152,11.664242,10.559926,0.188843931042254,False,134.84134308,0.08772572007000001,0.042466207274999994
Pleiades,121664981703811712,17.62225,19.718214,16.307133,0.1951369878436515,False,134.84134308,0.08772572007000001,0.042466207274999994
Pleiades,121962197736025216,14.671579,16.156422,13.480526,0.1860294968348672,False,134.84134308,0.08772572007000001,0.042466207274999994
Pleiades,122123482347867520,16.85914,18.697084,15.575342,0.1860049174479825,False,134.84134308,0.08772572007000001,0.042466207274999994
Pleiades,122143479715593472,15.692155,17.421587,14.432344,0.1808013553539904,False,134.84134308,0.08772572007000001,0.042466207274999994
